3
199 3
  7  18  94  43  34
 94  88  22  80 100
  2  90  58  27  36
 99  72 100  82  11
  5  91   8  78  40
 46  82  82   7  26
 18   0  96  77  41
 44  58   9  32   7
 77  94  80  40  83
 90  44  54  -1   2
 58  55  34  42  72
 12  13  36   5  72
 96  49  14   2  93
 60  79  97  38   0
 50   9   0  39  86
 73   1  91  44  47
 21  77  40  77  84
 17  94  21  46  96
 26  77  14  85  47
 87  26  63  43   7
 82  38  53  87  60
 97  33 100  65  34
 80  37  55  17  94
 98   2  37  45  -1
 46  24  29  24  48
 45  32  74  73  11
 35  32  -1  82  29
 14  89  49  93  21
 70  37  12  15  57
 42  66  68  41   2
 71  62  97  74  34
 24 100  87  57  64
 16  30  87  40  93
 -1  79  27  53  66
 67  29  98  52   9
 83  40  52  73  36
 75  49  88  15  85
 55  25  34   4   9
 88  93  92   5  54
 58  33  43  65   5
 30  25  61  36  68
 50  98  11  68  31
 67  40  82  29  97
  0  52  21  30  37
 34  45  13  19  16
 54  28  80  90  88
  2   3  93  87  69
 76  66  42  69  33
 88  66   1  91  44
 29 100   5  95  10
 83  93  42  73  43
 36  70  27  33   4
 93  10  63 100  71
 37  45  63  95  48
  4  87  78  62   7
  0  20  18  95  90
 62  59   4  12  27
 60  16  56   9  30
 88   4  23  45   0
 51  85   4  81  71
 13  59  20  27  27
  3  92  35  99  99
 42  44 100  15  46
 24  95  42  17  81
 74  59  54  81   6
 48  12  97  19   5
 27  61  97  18   9
  3  25  71  84  55
 10  72  29   3  33
  5  47  15   0  11
 66  29  35  68  31
  4  -1  89  90  36
 92  31  85  20   8
 31  58  92  15  39
 16  61  79  18  80
 78  37   1  83  79
 10  75  67  49  92
 79  49  16  68  31
 20  37  57  70  23
 35  71  24  10  81
 -1  83  85  -1  91
 36  69  62  48   5
 35  36  65  60  94
 62  95  70  15  32
 41   0   1  78  70
 88  10   0  34  75
 36  69  74  45  37
 79  37  79  67  18
 93  74   5  47  25
 70  14  40  99  69
 93  88  87  96  95
 68  25  89  46  38
 52  69  78 100   1
  3  19  80  49  27
 94  98  89  58  50
 77  60  75  23  68
 -1  55   0  45  24
 82  37  88  32  96
 18  40  36  88  65
 72  17  81  87  77
 22  68 100  12  53
 53  42  99  96  20
 90  14  57  45  63
 96  10  83  37  41
 68  29  26   5  54
100   2 100  64  32
 55  45  69  68  38
 47  39  85  79  84
 56  34  88  53  42
 11  41  32  26  73
 35  61  19  42  23
 42  46  22  34  53
 93  41  19  34  42
 56  63  54  94  98
 31  61  48  20  28
 84  50  73  54   8
 80   2  24  58  14
 -1  28  45  24  89
 24  18  45  72  50
 68  69  88  96 100
 99  65  79  47  85
 91  56  65  86  -1
 80  21  16  73  48
 32  10  14  39  68
 35  25   1  94   1
 74  22  34  46  41
 10   3  28  20  93
 96  75  77  49  36
 37  58  96  79  32
 18  61  92  73  55
 91  51  94  65   4
 17  41  77  54  80
 39  54  97  18  90
 81  95  30 100  10
 91  51   0   2  45
 49  51  48   1  61
 36  41  51   7  80
 63  59  33  69  40
 -1  -1  21  -1  -1
 28  32  38  20  13
 75  39  74  39  62
 -1  -1  -1   -1  29
 18  84   4  23  51
 15  25  73  19  47
  2  35  71  20  59
 20  90  84  88  37
 12  95  41   3  14
 90  96  22  15  25
 62  76  98  13  31
 49   4  40  37  85
  2  10  18  72  89
100  43  66  10   1
 54  18  0  91  -1
199 7
0 173 182  91 180 137 0
244 153  42 290 233  50 112
 77 129  51  18  58  40  41
271 174  26  22 261  95 293
252 198  96  70 220 222  17
 89 276 143 280 109 102  49
 61 168 254 123 164 237 264
224 198  87  84 141 172 248
208  64   5 300 200 144  32
 17 239   3   7 170 196  64
263  -1 -1 -1 -1 -1  -1
129   6  12  80  49  65  77
273 138 136 239  13 276  32
216 128 190 231 101 279 169
  1 171 172   8  64 225  42
133 118 263 109  10 211 217
154 279 240  12  34 131 102
110 210  79 214  69 294 163
-1  -1 -1 242 -1  -1 -1
242 172 198  85  23 217  34
146  12 127 214 135 118 193
220 211 246  63  84 290 159
129 107 161 250 100  64 284
284   7  21 282 229  98 228
113 264  55 165 147 164 234
217 177  57 125  10 131 121
 92 104 230 207  91 222 210
137  47  98 253 173 242 237
237 142  87 217 272 167 153
150 149 198 250  48 129 271
161 221 248  30   7  98  56
298  71 252 288 177 280  66
 43  49 182 181 124 215 182
189 230 156 106 164 292 163
286 278 174  39 275  86 123
 23 160 168 217 237  82 115
 82 120  50 246   2 271 135
 67  30 135 174 103 165  14
221 274 185  68 260 276   2
120  94 139   8 155  53 219
267  93 204 146 175  13 271
 84 296 149 292 214  97 244
  0 283  43 104  55 222 228
284  84 163  37 185  80 131
 25  94 125  13 241  35 227
270 256  96 127 102 147 277
116 181 275 114 194 277   2
 41 162  42 237  49  36 220
149  56 295 245 290 220 207
297 283 117 210 210 207 140
 68  39 199  28  22 116  35
287  13  39   3 151 223  79
151  40  25 195  51 118  33
247 245  58  44  57 251  49
104 107  14  61 133  52 298
108 111 228 198 202 119 245
173 195 117  15   2 153 150
268 242 242 159 280 122 140
  1  56   2 279 241 102   5
292 191 285   2 162  80 147
 24  40 112 185 297 300 118
 59  20 259 213 227 104 259
 86  81 204 121   6  63 132
260 189  91  24 171 122  84
143  47 106 194 230 159  46
 61  11 297 269 208   1 111
153 293 154 242 235  82  31
126 278  63  -1  61  91  93
  9 107  49 151 123 109  54
267 182 203 120  -1 213  77
  4 115 213 261 203  14 204
 57 144 112 220 181 194 121
261 236 211 127 284 100 264
272 115 279   8 260 160 197
126  55  -1 285 300 218 159
109 106 192 264 112   7 252
 37 219  80 291 180 157  39
118  49 215  70 126  29 183
125 185 207 267  72 121 161
190  24  55 139  35 183 211
209  32 213 261  53 237 245
 18 230 109 119 137 292 261
 44 132  33 129 119  76   2
159  74  69 253 285 238 159
239 286 284 104 130 265 150
 41 222  23  23 100 213  58
237 117 116 266 141   2   4
 35 237  17 253  42 139  66
 25 166 176 284  95 300 288
264 255 242  76  27   5 122
193 156 284  43 228 125 165
207 185 185 274  55   0  46
199 153 255 221  95 292 138
 28 144 103 296   7 140 197
136  12 121  25 184 138 289
194 135 134  -1  18  81  36
151 265 125  55 149 137 148
 89 145  37 160  57   2   2
 69  59  72 102 208 281  62
 89 238 141  22 144  52 173
 61 216  96 240 235  94  -1
182 290  19  12 157 176  46
 86 298 125 195 157  20 194
183 203 286 126 173 212 120
145 253 269  31 127  74 269
286 212 221 101 121 156  58
175 204  79 151 124  23 190
285 141  56  13  50  89 212
 29 122 249 202 148 179 283
 79 109 102 138  42  36 123
 52 167 200 248 206  68  63
199  72 169 218 123   2   8
106 214  93 158  95 221 255
224 117 236  77  95 252 245
 29  72  55 189 240 261 170
141 231 258 185 274  56 201
147 278 262  81 278 149 231
179 141  32 254 194 219  60
 46 157 122 297 272 170 177
156  19 178 158 154 187 138
  6 148 116 196  46 124 287
  5 155  36 181 144 137 237
 79 268 265 210 105  83 158
 63 223 144   4 104 107  78
262 180 163 296 223 107  13
 42 107  90 192 121 183 196
213 139 160 156 149 262  61
294  53 190 279 249 260  41
 73  83 197 188  34   1 257
113 175  12 209 219 165 244
176 296  79 236 218  10 257
121 278  76 278  38 252 206
196 181 175   9   9 195  44
116 218  21  11 125   3  39
245 188 143 177 228  11 176
121 117 252 107  86 138   6
181  29  60  46 106 239 138
111 244 110  66 119 239 255
127  45  67 238  42  73 182
226 187  26   1 274 216 210
 52  95 156 231 297  85 207
174 163  14 115 288  99  70
157  51 211 205 165 264  35
 82 165 269 146 275 209 159
  3 273 106  52 171  86 221
 13 132 186  21   4   3 102
229  59 153  79 135 144 220
  5  32 267 234  30 106 226
105 108 268 180 276 295 288
152 121  13 244 126 286 271
 79 170   2  29 156 274 280
102 160  70  -1  29  97  99
258 255 299 132 297  72 145
141 210 262  30  92 111  19
226 295 198 169 208 131  75
287  96 242  88 133  38 264
207 228 176  85 169 204 161
168 148  83 259  17  58 170
 18  32  78  57 239 109 232
 40 228 171 140 242 125  35
217 233 130 265 190 204 190
  1 127  33 175  90  48 113
266  12 125 127 282 251 300
278 157 210  83 119 102  30
 67 209 264 124 181 185 105
 82 273  40 134 121 288 199
  2 132 114   2 232  37  54
180 145  81  15 264 186 221
260  99 218   5 188 228  36
  6 276  11  33  11 101  79
 -1 127 111  28 187 229 124
 38 114 162  15  19 146 299
247 102 226 299 287 214  21
 64 228  29 158   7 158 199
220  81  29 127 279 294 253
256 258 115  53   4 106 290
226  54 160 149  71 159 160
176  99 224 296 173  16 233
 79 154 180 206 252 131 254
119  94 137 100  15 216 258
281 241 185 250  40  18  68
117 243 105  45  63  56   2
280  26 232 137  31 219  39
 17 144  19  23 260  12 232
184 179  83 106 228 269 298
 65 252 205 187  59  94 230
 31 282   2 206  36  51 275
127 196  61  22 239 194 207
289  44 229 213 144  55 202
131 264 183 131   7 140 122
127  41  17 275  33  63  39
167 150 177 207 246 194  28
165 228  72 140 190 201  59
206 105 123 107 113 286 132
291 290 138 173 197 120  60
188 272 171 232 283  47 212
  3 100  31  89 209  18 148
257 278  63  29 160 125 173
139 280 0  0 172 198   7
